date,day_number,dph_new_cases,dph_cumulative_cases,dph_new_deaths,dph_cumulative_deaths,dph_total_tested_est,test_positivity,hospitalized_ever,hospitalized_ever_pct,hospitalized_now,hospitalized_now_icu,conf_susp_cases,hospitalized_now_vent,deaths_w_race,pct_deaths_latinx,pct_deaths_white,pct_deaths_asian,pct_deaths_black,pct_deaths_pacisl,pct_deaths_other,dph_cumulative_cases_peh,dph_cumulative_cases_peh_housed,dph_new_deaths_peh,dph_cumulative_deaths_peh,r_effective,r_eff_ci_min,r_eff_ci_max,cases_lac_natam,cases_lac_asian,cases_lac_black,cases_lac_latinx,cases_lac_pacisl,cases_lac_white,cases_lac_other,cases_lac_underinv,deaths_lac_natam,deaths_lac_asian,deaths_lac_black,deaths_lac_latinx,deaths_lac_pacisl,deaths_lac_white,deaths_lac_other,deaths_lac_underinv,saho_icu_nocal,saho_icu_bayarea,saho_icu_grsac,saho_icu_sjv,saho_icu_socal
2020-03-04,1,6,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,2,4,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,3,2,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,4,1,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,5,0,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,6,2,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,7,1,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,8,6,27,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,9,3,32,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,10,8,40,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,11,11,53,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,12,16,69,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,13,25,94,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,14,50,144,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,15,46,190,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,16,40,231,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,17,61,292,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,18,59,351,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,19,71,409,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,20,128,536,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,21,128,662,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,22,138,799,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,23,421,1216,9,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,24,257,1465,5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-28,25,344,1804,6,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29,26,332,2136,5,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,27,342,2474,7,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,28,548,3011,10,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,29,513,3518,11,65,,,733,.20999999,341,.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-02,30,534,4045,13,78,26000,.13,879,.22,241,.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-03,31,521,4566,11,89,,,1018,.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-04,32,711,5277,28,117,29000,.14,1168,.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-05,33,663,5940,15,132,31000,.14,1257,.20999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-06,34,420,6360,15,147,32000,.14,1366,.20999999,900,.059999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,35,550,6910,22,169,35000,.14,1510,.22,869,.15000001,,,,,,,,,,,,,,,,,,316,283,735,,870,693,3711,,18,16,26,,25,8,71,,,,,
2020-04-08,36,620,7530,29,198,36000,.15000001,1714,.23,1033,,,,,,,,,,,,,,,,,,,334,301,807,,827,747,4133,,,,,,,,,,,,,
2020-04-09,37,425,7955,25,223,38400,.15000001,1894,.23999999,,,,,,,,,,,,,,,,,,,,463,384,1309,,1161,707,3550,,32,23,46,,46,6,59,,,,,
2020-04-10,38,475,8430,18,241,40700,.15000001,2043,.23999999,,,,,,,,,,,,,,,,,,,,526,429,1621,,1292,655,3497,,38,26,51,,54,7,52,,,,,
2020-04-11,39,456,8873,25,265,45000,.14,2172,.23999999,,,,,201,.31999999,.31999999,.2,.13,,.029999999,,,,,,,,,589,460,1869,,1399,661,3462,,40,27,64,,64,6,49,,,,,
2020-04-12,40,323,9192,31,296,47000,.14,2246,.23999999,,,,,240,.33000001,.31999999,.19,.14,,.02,,,,,,,,,632,478,2025,,1445,670,3493,,46,33,79,,77,5,41,,,,,
2020-04-13,41,239,9420,25,320,52000,.13,2354,.25,1059,.18000001,,.15000001,262,.33000001,.33000001,.18000001,.14,,.02,,,,,,,,,673,504,2216,,1524,681,3371,,47,37,87,,87,4,41,,,,,
2020-04-14,42,670,10047,40,360,63000,.11,2517,.25,1433,.33000001,,.2,292,.34,.31999999,.17,.16,,.02,,,,,,,,,713,539,2416,,1610,747,3508,,49,46,98,,93,6,45,,,,,
2020-04-15,43,472,10496,42,402,67500,.11,2704,.25999999,1501,.31,,.19,330,.34,.31,.17,.15000001,,.02,,,,,,,,,756,563,2634,,1732,766,3503,,57,50,112,,103,8,43,,,,,
2020-04-16,44,399,10854,55,455,70000,.11,2847,.25999999,1587,.31999999,,.22,390,.33000001,.31,.17,.16,,.029999999,,,,,,,,,783,590,2818,,1807,766,3527,,67,64,130,,119,10,33,,,,,
